mr,ref
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x eatType_x is a familyFriendly_x with priceRange_x price range serves food_x food near near_x has a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x eatType_x near near_x in area_x has fine food_x food and an customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[no], near[near_x]",food_x is not familyFriendly_x.  It is located near near_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a eatType_x area_x near near_x. The prices are quite high while the customer ratings are quite customer rating_x. It is not recommended to familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], area[area_x], familyFriendly[yes]",On the area_x the name_x is food_x.
"name[name_x], food[food_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a food_x familyFriendly_x in the area_x area. It is near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]","name_x is a priceRange_x food_x eatType_x, offering food at the customer rating_xer price range. It familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",food_x familyFriendly_x near near_x is name_x which is a priceRange_x eatType_x with customer rating_x rating.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]","There is a eatType_x that is priceRange_x priced called name_x in the area_x area, that serves food_x food and is familyFriendly_x"
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], near[near_x]","priceRange_x to pay over £30, name_x is a eatType_x located near near_x."
"name[name_x], eatType[eatType_x], customer rating[customer rating_x], familyFriendly[yes]",familyFriendly_x called name_x is customer rating_x.
"name[name_x], food[food_x], familyFriendly[yes]",name_x is food_x and  familyFriendly_x
"name[name_x], eatType[eatType_x], customer rating[customer rating_x out of 5], familyFriendly[yes], near[near_x]",There is a customer rating_x out of 5 customer familyFriendly_x located near a near_x called name_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]",A good eatType_x food_x a customer rating of customer rating_x out of 5 is name_x. It is in the area_x area near the near_x. It priceRange_x and familyFriendly_x
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","customer rating_x located  in the area_x, near near_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","Near near_x, area_x the city is name_x. It is a food_x eatType_x that is rated customer rating_x and familyFriendly_x"
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x is a customer rating_x food_x food place. It familyFriendly_x located in the area_x area near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",name_x eatType_xlic house is a one star food_x which serves food.
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]",near_x a familyFriendly_x food_x name_x priceRange_x.  It is inexpensive.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","North of the city centre, customer rating_x area_x familyFriendly_x named name_x. It serves food_x food and is rated 1 star."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","The name_x is located near_x It serves food_x, is cheap, familyFriendly_x and customer rating_x rated."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]",familyFriendly_x food_x priceRange_x price range. It is located area_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","In the area_x area, name_x is familyFriendly_x, priceRange_x and has an customer rating_x customer rating."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x food_x familyFriendly_x The price range is cheap and located near area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x]",name_x is a priceRange_x food_x eatType_x that is located in the area_x. It has a customer rating of customer rating_x out of 5.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[yes]",name_x is a familyFriendly_x that serves food_x food.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",food_x located near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no]",name_x customer rating_x eatType_x offers Fast food food_x familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]","name_x serves food_x for a priceRange_x price, customers have customer rating_x rating"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x]","A eatType_x located on the area_x called name_x, has a customer rating_x out of 5 customer rating. its price range are fairly priceRange_x for it's excellent food_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",name_x serves food_x food priceRange_x has a customer rating_x customer rating. It is located in the area_x and has a familyFriendly_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x serves customer rating_x food_x food in the area_x near near_x.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no], near[near_x]",name_x is near near_x familyFriendly_x with some lovely food_x food with in area_x with a rating of customer rating_x out of 5 stars. no children please.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","name_x in area_x was rate customer rating_x and has an average price range of priceRange_x, however it is familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","area_x,food_x serving wine and cheese."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x is a priceRange_xly-priced, familyFriendly_x that is located near near_x and has a customer rating of customer rating_x."
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",name_x is a restaurant that cooks food_x food it is located by the area_x and the price range is priceRange_x
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]",name_x is a eatType_x that provides food_x food Its customer rating is customer rating_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","In customer rating_x city, there is a restaurant called name_x.  It is a food_x, yet inexpensive, restaurant familyFriendly_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is a eatType_x that provides food_x. It is located by the area_x with an customer rating_x customer rating and a priceRange_x price range.
"name[name_x], food[food_x], familyFriendly[yes], near[near_x]",near_x food.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is familyFriendly_x but has been rated customer rating_x by customers. It is located in area_x and has an average price range of priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",name_x is customer rating_x the near_x and is in the food_x price range.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",food_x near near_x in customer rating_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",familyFriendly_x food name_x which has customer rating_x customer rating and price range food_x is served near near_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","name_x serves food_x food, it is near the familyFriendly_x area_x priced."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x is a area_x in customer rating_x budget food.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",area_x and spirits 3 star eatType_x relax by the river at name_x pub.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",Near near_x in the area_x area familyFriendly_x. The price range is between food_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",name_x eatType_x is located in the area_x area near the near_x. It serves food_x food with a priceRange_x price range and familyFriendly_x
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes]",name_x serves food_x food in a familyFriendly_x environment. It has a customer rating_x customer rating.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[no]","With customer rating_x out of 5 as a customer rating, name_x is a familyFriendly_x food_x restaurant located on area_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x]","name_x serves traditional food_x food, and has been customer rating_x stars."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x]",name_x is in the priceRange_x price range. It is a eatType_x
"name[name_x], food[food_x], customer rating[customer rating_x], near[near_x]",customer rating_x near near_x name_x is an food_x restaurant with a poor customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]",name_x is located in the area_x area and features priceRange_x priced food_x food and is familyFriendly_x
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], near[near_x]",name_x is a food_x eatType_x with customer rating_x out of 5 customer ratings located near near_x in the area_x area.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x, in the area_x area, near near_x, has food_x food, familyFriendly_x has a customer rating_x customer rating, and has a price range priceRange_x 25 pounds."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is located in area_x. It is a customer rating_x rated food_x restaurant that is familyFriendly_x costs priceRange_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], familyFriendly[no], near[near_x]","name_x, near near_x, is a eatType_x serving food_x food. It is not familyFriendly_x in the priceRange_x price range."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",There is a food_x food restaurant called name_x in the area_x area. It has an customer rating_x customer rating and the price range is priceRange_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]",name_x is in area_x near near_x and serves food_x food with a price range is priceRange_x.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[no]","name_x is a eatType_x providing food_x services, but it isn'familyFriendly_x"
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",name_x is a food_x wine and cheese shop customer rating_x the City centre with a area_x price point.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",for eatType_x go to familyFriendly_x very customer rating_x near to near_x area_x
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]",food_x is familyFriendly_x restaurant in the area_x with a customer rating_x customer rating.
"name[name_x], eatType[eatType_x], food[food_x], familyFriendly[yes], near[near_x]",Near near_x there is an food_x eatType_x named name_x that familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",There customer rating_x-area_x located near_x name_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]","priceRange_x, name_x is in area_x with a customer rating_x customer rating. Not food_x"
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]",There is a five star rated food_x eatType_x in the area_x area near near_x named name_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","Near near_x in the area_x, name_x is a customer rating_xly rated, averagely eatType_x is familyFriendly_x"
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x]",The eatType_x name_x is food_x centre. It area_x food and has a customer rating_x star rating.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]",name_x offers British food in customer rating_x price range. It is food_x with a 3 out of 5 star rating. You can find it near the near_x.
"name[name_x], food[food_x], familyFriendly[no], near[near_x]",Located next to near_x restaurant called name_x. familyFriendly_x not welcome.
"name[name_x], food[food_x], priceRange[priceRange_x]",food_x restaurant with priceRange_x prices.
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","name_x, an food_x restaurant, has a customer rating_x customer rating. This is because it familyFriendly_x located near the near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]","priceRange_x food_x restaurant, with a customer rating of customer rating_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], near[near_x]",The name_x is an food_x eatType_x located near near_x with a customer rating_x customer rating.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x]",The name_x offers food_x food in area_x for priceRange_x.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no]",name_x is an customer rating_x rated place. It is located in the area_x. It provides food_x food and it isn'familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]",food_x mid-price traditional British fare.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes], near[near_x]",name_x is an food_x eatType_x near near_x in the area_x rated customer rating_x out of 5 and familyFriendly_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]",There familyFriendly_x area_x near_x name_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x familyFriendly_x with a priceRange_x price range. Customer rating is customer rating_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]",name_x is a eatType_x that serves food_x food in the twenty to twenty five pound price range near the area_x that familyFriendly_x
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","Located near_x it's inexpensive and familyFriendly_x,  but the food_x food at name_x has a customer rating_x customer rating."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x], near[near_x]","Located near the near_x, name_x offers priceRange_x priced eatType_x food in the area_x area."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",customer rating_x eatType_x located just food_x road from near_x is a 3 star area_x eatery.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x serves food_x food near near_x by the area_x with a customer rating_x customer rating and a price range of priceRange_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",name_x is a eatType_x with customer rating_x price near near_x
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","With the price range running priceRange_x, it's surprising that name_x is a familyFriendly_x that offers food_x food in the area_x area."
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], familyFriendly[yes]",name_x in food_x customer rating_x area_x.
"name[name_x], food[food_x], customer rating[customer rating_x out of 5]",food_x customer rating_x star restaurant called name_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[yes]",name_x priceRange_x food_x rating. It is customer rating_x cost and familyFriendly_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]",name_x near_x food_x food at a customer rating_x price in a familyFriendly_x environment with high customer ratings and is located right in the area_x
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]",customer rating_x in City centre.  area_x one star.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes]","Near the area_x can be found a priceRange_x-priced, familyFriendly_x named name_x, which serves food_x food."
"name[name_x], food[food_x], customer rating[customer rating_x], near[near_x]",name_x is a wine food_x is located customer rating_x to near_x. It has a customer rating of 1 out of 5.
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","name_x serves food_x food and familyFriendly_x and conveniently located area_x of town near the near_x, but it has a customer rating_x customer rating."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[no]",name_xs food_x restaurant  has an customer rating_x customer rating as a eatType_x style restaurant that is not classified familyFriendly_x
"name[name_x], food[food_x], customer rating[customer rating_x out of 5], area[area_x], near[near_x]",name_x is a customer rating_x out of 5 rated food_x restaurant located area_x near near_x.
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x], familyFriendly[yes], near[near_x]","If you're priceRange_x an upscale eatType_x, look no further than name_x, familyFriendly_x area_x coffee shop near near_x."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x]","food_x food restaurant that is cheap and affordable, though customers are not generally pleased and have given the restaurant a customer rating_x rating."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","The priceRange_x, name_x, is located in the area_x near near_x. They food_x and have great reviews."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x with food_x food has a customer rating_x customer rating. This eatType_x is in the area_x area
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]","area_x is name_x, a fast priceRange_x."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], area[area_x]","At area_x,name_x is rated customer rating_x out of 5 and is priceRange_x"
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x]","name_x is an affordable joint priceRange_x simple lunch, for work meetings or with friends."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x]","name_x is a fair priced eatType_x with food_x food, in the area_x and great customer rating."
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], near[near_x]",area_x one star restaurant near_x
"name[name_x], food[food_x], priceRange[priceRange_x], familyFriendly[yes], near[near_x]","Featuring food_x food priceRange_x, name_x is a a familyFriendly_x restaurant located near near_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes], near[near_x]","The priceRange_x highly familyFriendly_x called name_x is located in the area_x, near near_x. It serves food_x food."
"name[name_x], priceRange[priceRange_x], area[area_x]",name_x has items in the  priceRange_x price range and is in area_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]","With area_x at £0 for delicious food_x food in a eatType_x environment, name_x also boasts being near_x"
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], familyFriendly[no]",familyFriendly_x that food_x no kids alcustomer rating_xed.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no]",name_x offers priceRange_x food_x food with customer rating_x customer rating. It is not familyFriendly_x.
"name[name_x], food[food_x], priceRange[priceRange_x], area[area_x], near[near_x]","In the area_x, near near_x, you can find the priceRange_x food_x place name_x."
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x]",name_x area_x serves customer rating_x food.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",food_x eatType_x with cheap prices
"name[name_x], food[food_x], priceRange[priceRange_x], near[near_x]","Near near_x is a name_x, providing priceRange_x food_x food."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[yes]","In the area_x area is located familyFriendly_x.  Prices are in the priceRange_x range and the shop has a customer rating_x customer rating, look for The name_x."
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x], near[near_x]",Near the near_x is name_x. It has a customer rating_x rating but costs priceRange_x.
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x]",food_x mid price priceRange_x called name_x.
"name[name_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], familyFriendly[no], near[near_x]","There is a food_x cuisine establishment located near near_x, name_x. The price range is priceRange_x, the environment is familyFriendly_x the customer satisfaction rating is a low customer rating_x."
"name[name_x], eatType[eatType_x], food[food_x], priceRange[priceRange_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]","Located in the area_x name_x eatType_x, with a customer Rating of customer rating_x, offers food_x food for a priceRange_x price.    While it is familyFriendly_x is a near_x nearby."
"name[name_x], eatType[eatType_x], priceRange[priceRange_x], area[area_x], familyFriendly[no]",name_x area_x and familyFriendly_x allowed.
"name[name_x], eatType[eatType_x], food[food_x], customer rating[customer rating_x], area[area_x], familyFriendly[no], near[near_x]",name_x is a food_x eatType_x near near_x in area_x familyFriendly_x rated customer rating_x.
"name[name_x], priceRange[priceRange_x], customer rating[customer rating_x out of 5], familyFriendly[yes], near[near_x]","A priceRange_x hotel near familyFriendly_x is name_x, part of the chain called near_x.  This hotel was rated customer rating_x out of 5."
"name[name_x], food[food_x], customer rating[customer rating_x], familyFriendly[yes], near[near_x]","With a customer rating_x rating, name_x familyFriendly_x located near near_x, and serves food_x food."
"name[name_x], food[food_x], customer rating[customer rating_x], area[area_x], near[near_x]","Located customer rating_x is name_x, area_x-end food_x."
